	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1	2043.9124846021539	-0.40009300041158063	0.21143706766157225	-1.892255718623437	0.058456917781363936	0.15741032505720604
g10	100.00858323797509	1.0464807193265633	0.26666696183457317	3.9242983537486262	8.698288183596046e-05	0.0010780605657850857
g100	191.16149304112605	-0.13377545710872438	0.23771286719135518	-0.5627606897738405	0.5735978516747102	0.7342748665524059
g1000	165.90979280640093	0.24289855080834424	0.22775230673936678	1.066503142320795	0.2861962589755612	0.4728404081189591
g1001	256.2708769952588	0.023464546935467245	0.19888011175325648	0.11798337565587694	0.9060808301783473	0.9513073405266674
g1002	1452.8402799958774	-0.25024964819129497	0.11000606806707683	-2.274871310178124	0.022913650860573388	0.08023985008430241
g1003	2254.064299217266	-0.08260095404495395	0.09362471124893533	-0.8822559017066475	0.37763843783122	0.5659963720100655
g1004	1494.602671411015	0.1923829008398218	0.10774758411375177	1.785496189285492	0.07418086890101597	0.18512527350823035
g1005	434.97057262878025	0.5749317635509563	0.18390469040969756	3.126248505517396	0.0017705186912339158	0.011892845442394242
g1006	4513.993845380071	-0.056737983439232205	0.09315530622837027	-0.6090687233654625	0.5424788877206488	0.7073555741054581
g1007	2162.1041093868153	0.1527371017697678	0.14735380645722487	1.0365331269138651	0.2999534930944321	0.48405471638781433
g1008	1202.3277611465753	-0.6403438055748185	0.1001568951175776	-6.393407112142375	1.6222956475091086e-10	1.3286556040298172e-08
g1009	2163.5728044889906	-0.5373815257590325	0.1026684139799589	-5.234146559076392	1.6574890178864932e-07	5.702072032560917e-06
g101	2565.479233980455	-0.19104423982308244	0.10463060597441658	-1.8258925105508328	0.067866454557641	0.17567961970933652
g1010	221.27889414256057	0.723915806493528	0.29837307478812386	2.4262102302883197	0.015257429109644359	0.059846371971873306
g1011	1708.9447093762192	-0.1525014223939374	0.12436118389491989	-1.2262783098204892	0.2200939608043142	0.3990964875471333
g1012	421.70060811882877	0.46970673959822007	0.1551240781060896	3.027942182366988	0.0024622519180511455	0.01508078088243971
g1013	946.593782783205	-0.24551353050040167	0.11183634375355138	-2.195292891919183	0.028142594466729166	0.0932429255013772
g1014	203.5754541638454	-0.026716711769265152	0.23019372108226763	-0.11606186147760746	0.9076035146223306	0.9523627529432152
g1015	380.70414918390753	0.7612666555815136	0.2134973748297581	3.5656956259464287	0.00036289235004256115	0.0033146569243341626
g1016	211.53005798191603	0.6960937515255496	0.21483078550787055	3.240195532869974	0.0011944775931594979	0.008689470396087176
g1017	570.8865589935989	0.12181261983325634	0.15229291543817405	0.7998574292361503	0.42379340496932305	0.6083895320954809
g1018	3607.238327298313	0.09371825585617023	0.12084931666569222	0.7754967793109235	0.43804616784683625	0.6204379379362761
g1019	2890.4462448315644	0.5802626646690168	0.11307564906723815	5.131632402339564	2.8724006121388385e-07	9.274830397616724e-06
g102	152.72002392868828	0.09424923479228459	0.20517090160084708	0.4593694040280782	0.6459689156688784	0.7860534144056666
g1020	209.57431047902605	0.6725369392619591	0.21373017323841922	3.146663520043724	0.0016514488931208067	0.011260425885565594
g1021	385.4155106648697	-0.2751325533540874	0.15706051657508188	-1.7517614188067554	0.07981484086597326	0.19431113044156584
g1022	4510.100498345204	-0.4066021316776677	0.08554450146602395	-4.753106566868701	2.003146961689784e-06	4.8193359254771864e-05
g1023	283.2015791794695	0.1773797454271643	0.20836035158713193	0.851312373376313	0.39459585333922786	0.5819340289029238
g1024	30272.683924997746	0.002705932999409169	0.12549195619021358	0.021562601154353423	0.9827968665458712	0.9925035022648429
g1025	238.85260848518578	0.5536929938023064	0.19427951529543644	2.849981342398956	0.004372179375323034	0.023363968236940733
g1026	7480.080768511517	-0.4749903175575344	0.09627419483358314	-4.933724123879605	8.06763698668864e-07	2.167662171386926e-05
g1027	3242.4642371693258	0.31821752647205387	0.3469086257437259	0.9172949383712725	0.3589881090283511	0.5453715350117047
g1028	234.03965411300166	0.4381723724823704	0.21118216443743992	2.074855012730838	0.03799997419594158	0.11598499586671722
g1029	3758.0665281518977	-0.3401726558244287	0.08988835408641505	-3.7843907509687	0.00015408557340194839	0.0016880624871802737
g103	375.2698832074011	-0.07145646857642235	0.16616299116657135	-0.43003841032682344	0.6671677007051406	0.7999492854383136
g1030	705.5328791392035	0.23380100416094873	0.1662712515760377	1.4061420837626215	0.1596819379654033	0.31449396128980717
