	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1	2572.1200599559215	1260.8984506548752	1461.0857931859014	2327.3170698224294	2221.148240083796	2420.905293910001
g10	139.14096151229867	111.11365657111926	153.93219587459254	69.44253831524726	57.45764109603315	68.96450605855972
g100	192.8096180956139	130.43777075740087	219.46768520733983	232.13648522525511	178.9395108419318	193.17788811921488
g1000	159.01824172834134	157.8135991879665	216.41952291279347	174.59838204976452	147.7482199612281	139.8607909983116
g1001	208.71144226844802	247.99279872394735	311.92860814191357	246.02499288830455	277.4383241494172	245.5290957995221
g1002	1315.8759503020246	1338.1949074000015	1324.934544029496	1743.9997479743524	1426.5911460700802	1567.4453841993095
g1003	2230.2308402399876	2297.959245318655	2045.3168996406255	2341.205577485479	2324.5719940566555	2285.101238562193
g1004	1592.1701453050177	1726.2875339744905	1465.1500095786298	1454.3251595736067	1378.9833863047957	1350.6997937295505
g1005	391.58242025604056	632.8647396007227	536.4765638401641	345.2286190529435	341.4625527992827	362.2085402235279
g1006	4198.081581628212	4847.131975058971	4232.881373026749	4573.287166189855	4640.93575367102	4591.645222705619
g1007	1771.0656672494017	2338.217816540075	2709.816279851738	2111.0531647835164	2030.7172010226573	2011.754526873504
g1008	968.0235465212779	914.674738150663	934.7697703275586	1488.054392469584	1492.2570216084039	1416.1870978019642
g1009	1874.4275243728237	1832.5701619990396	1598.2530964404887	2632.8642384095174	2485.4533891255483	2557.8684165865243
g101	2649.6414527984875	2375.2557020637814	2171.3076078152094	2805.478547935989	2679.1677219636026	2712.024371305658
g1010	190.82189007400962	207.73422750252732	425.726667138312	168.64616447988618	147.7482199612281	186.9961956994
g1011	1894.3048045888663	1475.0740495528296	1490.551362033183	1841.2193016156987	1838.6445150730608	1713.8742233936746
g1012	548.6129339627777	426.74085494705224	494.8183458146968	378.95785194892073	321.76279013778566	359.3108719017397
g1013	906.4039778515457	898.5713096620949	799.6345752693354	1043.6221472520017	1009.6128364017253	1021.7178502625276
g1014	246.4782746789291	173.9170276765345	185.9378999673296	168.64616447988618	257.73856148792015	188.73479669247294
