GeneID	GeneName	SRR9624152	SRR9624153	SRR9624154	SRR9624155	SRR9624156	SRR9624157
g1	--	1294	783	2876	1173	1353	12532
g10	--	70	69	303	35	35	357
g100	--	97	81	432	117	109	1000
g1000	--	80	98	426	88	90	724
g1001	--	105	154	614	124	169	1271
g1002	--	662	831	2608	879	869	8114
g1003	--	1122	1427	4026	1180	1416	11829
g1004	--	801	1072	2884	733	840	6992
g1005	--	197	393	1056	174	208	1875
g1006	--	2112	3010	8332	2305	2827	23769
g1007	--	891	1452	5334	1064	1237	10414
g1008	--	487	568	1840	750	909	7331
g1009	--	943	1138	3146	1327	1514	13241
g101	--	1333	1475	4274	1414	1632	14039
g1010	--	96	129	838	85	90	968
g1011	--	953	916	2934	928	1120	8872
g1012	--	276	265	974	191	196	1860
g1013	--	456	558	1574	526	615	5289
g1014	--	124	108	366	85	157	977
g1015	--	170	304	1192	128	188	1494
g1016	--	117	206	436	83	98	817
g1017	--	270	408	1162	240	386	2751
g1018	--	1634	2703	7038	1699	2119	18727
g1019	--	1591	2055	7696	1247	1340	11840
g102	--	80	100	301	82	82	756
g1020	--	114	196	464	75	90	947
g1021	--	160	203	778	226	243	2200
g1022	--	1962	2530	7222	2542	3200	26508
g1023	--	159	142	697	117	188	1344
g1024	--	13630	16848	72177	15299	18229	157702
g1025	--	153	189	477	102	128	879
g1026	--	3246	4177	11044	4460	5242	44709
g1027	--	1389	1620	10675	1412	1754	15431
g1028	--	124	202	461	97	142	894
g1029	--	1711	2158	6065	2132	2587	21297
g103	--	161	269	680	206	216	2017
g1030	--	360	385	1861	334	386	3395
g1031	--	217	335	1038	227	328	2728
g1032	--	229	359	1320	271	320	2517
g1033	--	76	158	418	77	88	649
g1034	--	1225	1864	5224	1655	2178	17756
g1035	--	1105	1504	4128	1621	1996	17016
g1036	--	290	400	1474	461	571	4907
g1037	--	5040	5524	16690	4268	5250	43242
g1038	--	607	935	2714	436	499	4245
g1039	--	65	121	360	71	97	664
g104	--	410	663	1696	471	591	4697
g1040	--	1475	2077	5844	1503	1581	13584
g1041	--	664	578	1916	771	777	6971
g1042	--	290	460	1428	436	456	3942
g1043	--	116	174	854	153	214	1468
g1044	--	463	414	1540	515	466	4402
g1045	--	171	178	600	121	166	1400
g1046	--	1101	1340	3878	1187	1416	11964
g1047	--	295	308	972	228	273	2158
g1048	--	0	6	4	4	0	10
g1049	--	55	74	274	95	100	818
g105	--	808	902	3149	483	555	5152
g1050	--	255	243	1032	267	330	2373
g1051	--	40	24	186	24	32	218
g1052	--	1456	2106	6476	1732	2162	18036
g1053	--	247	269	786	197	232	2090
g1054	--	300	383	1158	258	331	2587
g1055	--	1576	2671	7044	1921	2302	18982
g1056	--	198	227	672	191	227	1968
g1057	--	212	231	656	178	166	1547
g1058	--	316	318	1034	335	372	3449
g1059	--	251	252	846	270	301	2639
g106	--	424	665	4542	383	437	3609
g1060	--	541	532	1752	553	641	5783
g1061	--	563	600	1746	548	726	6158
g1062	--	439	497	1726	445	554	4167
g1063	--	95	157	540	83	115	839
g1064	--	511	531	1992	409	544	4130
g1065	--	48	47	260	32	43	401
g1066	--	708	730	2110	661	718	6487
g1067	--	759	730	2890	732	913	7729
g1068	--	1301	1613	4710	1475	1764	14772
g1069	--	303	410	1190	302	343	3083
g107	--	1716	2064	5748	1548	1718	14629
g1070	--	301	406	1172	298	342	3057
g1071	--	57	109	405	81	97	907
g1072	--	667	703	2302	599	733	6141
g1073	--	368	507	1630	318	363	3029
g1074	--	436	517	1406	437	587	4699
g1075	--	45	58	501	63	25	423
g1076	--	81	129	635	116	118	1092
g1077	--	645	776	3121	446	672	4799
g1078	--	1108	1394	4970	1405	1539	14184
g1079	--	471	580	1900	573	690	5941
g108	--	48	82	372	40	35	360
g1080	--	562	751	2056	837	961	8586
g1081	--	298	347	1128	319	398	3221
g1082	--	1895	2301	6656	2168	2530	22350
g1083	--	212	242	860	202	223	2175
g1084	--	221	261	646	163	249	1828
g1085	--	215	429	1730	150	192	1475
g1086	--	903	1067	3052	993	1007	9465
g1087	--	176	204	624	262	304	2741
g1088	--	247	395	1118	266	301	2571
g1089	--	381	648	2386	482	543	4860
g109	--	575	675	1802	589	674	5938
g1090	--	49	70	346	30	66	417
g1091	--	458	363	1194	407	541	4816
g1092	--	690	748	2888	622	716	6417
g1093	--	479	535	1418	542	637	5282
g1094	--	144	152	474	108	162	1217
g1095	--	470	527	1436	376	483	4367
g1096	--	138	188	1056	221	238	2119
g1097	--	214	135	494	179	225	1762
g1098	--	282	251	740	236	337	2636
g1099	--	1254	1334	3864	1066	1301	11615
g11	--	430	502	1736	409	477	4071
g110	--	168	203	622	202	266	2093
g1100	--	523	675	2136	617	753	5834
g1101	--	344	341	1154	537	627	5710
g1102	--	368	378	1184	290	360	3031
g1103	--	609	763	2102	675	832	7211
g1104	--	105	115	346	94	123	1132
g1105	--	1264	1243	4100	1361	1604	13613
g1106	--	291	293	898	293	377	3300
g1107	--	607	687	1810	755	1035	8198
g1108	--	408	543	1418	376	467	4219
g1109	--	866	1275	3122	880	1031	9240
g111	--	604	714	2082	797	856	7184
g1110	--	428	676	1796	415	510	4447
g1111	--	97	99	282	63	67	591
g1112	--	1614	2068	5756	1897	2177	18857
g1113	--	254	227	628	183	215	2140
g1114	--	262	233	850	261	287	2589
g1115	--	350	383	1158	356	465	3657
g1116	--	376	468	1522	380	466	4029
g1117	--	1279	2158	5576	1652	2035	16119
g1118	--	483	702	1918	512	597	5002
g1119	--	1091	1685	4398	1754	2360	19586
g112	--	93	126	468	99	84	798
g1120	--	234	383	910	315	360	3136
g1121	--	346	414	1206	351	463	3891
g1122	--	131	144	616	174	163	1447
g1123	--	64	61	216	65	87	650
g1124	--	898	1031	2842	1220	1499	13565
g1125	--	202	226	932	233	314	2720
g1126	--	687	693	2154	822	991	8607
g1127	--	264	266	880	345	356	3093
g1128	--	129	181	520	191	247	1925
g1129	--	14	8	34	8	10	125
g113	--	1922	2288	6546	1787	2158	18282
g1130	--	10153	14378	38328	12395	15231	127492
g1131	--	522	856	2120	427	574	4712
g1132	--	328	338	1118	286	382	3155
g1133	--	995	1304	3502	1294	1442	13391
g1134	--	2173	2805	12969	1774	2159	18119
g1135	--	1981	2633	16292	1839	1861	17047
g1136	--	2666	3967	10750	2591	2840	26113
g1137	--	225	260	758	138	167	1229
g1138	--	275	483	1194	211	284	2691
g1139	--	63	48	196	23	19	275
g114	--	152	218	662	180	244	1844
g1140	--	1364	1287	3704	828	828	7760
g1141	--	1126	1291	7474	890	1024	8624
g1142	--	654	806	3996	638	758	6596
g1143	--	178	187	1153	162	263	1832
g1144	--	119	109	868	41	73	530
g1145	--	1597	2068	9688	2548	2539	22976
g1146	--	1022	1181	3960	841	1015	8234
g1147	--	437	329	1172	432	469	4026
g1148	--	104	129	440	149	147	1455
g1149	--	321	256	908	383	457	3833
g115	--	99	132	402	122	164	1185
g1150	--	377	362	1192	372	447	3839
g1151	--	225	198	1070	170	203	1798
g1152	--	323	396	1346	296	393	3468
g1153	--	271	259	790	233	315	2673
g1154	--	450	535	1564	467	597	4990
g1155	--	911	1047	2912	817	968	8667
g1156	--	774	750	2658	792	950	8229
g1157	--	439	582	1970	731	794	6611
g1158	--	137	145	554	119	174	1315
g1159	--	403	490	1418	564	643	4795
g116	--	1097	1161	3362	1140	1382	11508
g1160	--	339	371	1194	343	516	3773
g1161	--	7674	9068	27254	6871	7983	69525
g1162	--	368	768	1786	487	514	4668
g1163	--	333	523	1520	511	576	5165
g1164	--	947	1239	4206	874	1103	9999
g1165	--	343	446	1200	355	459	3411
g1166	--	337	453	1590	279	401	2933
g1167	--	174	235	644	139	193	1464
g1168	--	820	1001	3162	962	1034	9278
g1169	--	520	852	2388	542	625	5180
g117	--	140	161	614	155	231	1738
g1170	--	83	107	308	84	70	597
g1171	--	605	872	2638	580	656	5654
g1172	--	128	232	947	150	192	1508
g1173	--	867	1721	8707	1004	1122	9557
g1174	--	1296	1943	7007	1544	1860	16409
g1175	--	1114	2358	12786	1333	1442	13027
g1176	--	1297	1887	6741	1525	1786	15398
g1177	--	721	1632	8056	846	890	8402
g1178	--	736	1595	7906	817	914	8352
g1179	--	1057	1489	5528	1187	1434	12342
g118	--	254	282	818	346	352	3264
g1180	--	843	1617	6745	1030	1186	9238
g1181	--	212	322	956	199	176	1732
g1182	--	232	202	540	185	243	2129
g1183	--	546	826	2020	625	710	5953
g1184	--	521	487	1554	531	660	4919
g1185	--	360	466	1268	481	511	4367
g1186	--	577	699	1954	537	659	6099
g1187	--	297	490	2166	346	447	3800
g1188	--	253	276	752	328	348	3103
g1189	--	410	519	1624	347	494	4257
g119	--	1132	1425	3962	1333	1611	12732
g1190	--	389	734	2036	498	532	4391
g1191	--	623	685	2228	523	728	5894
g1192	--	149	164	468	139	175	1491
g1193	--	1022	1271	3242	678	735	6834
g1194	--	84	101	274	38	34	403
g1195	--	658	800	2224	639	717	6387
g1196	--	94	134	348	103	90	891
g1197	--	639	730	2831	418	523	4585
g1198	--	283	311	1817	274	330	2615
g1199	--	0	0	4	0	0	0
g12	--	41	63	221	40	65	451
g120	--	514	593	1986	548	668	5436
g1200	--	635	874	3960	629	680	5711
g1201	--	352	499	1518	460	484	4649
g1202	--	617	850	3004	709	860	6882
g1203	--	60	106	488	54	60	573
g1204	--	349	517	1806	450	542	4284
g1205	--	276	383	1572	251	328	2777
g1206	--	399	564	1386	404	475	4134
g1207	--	1949	2261	7344	1965	2315	20095
g1208	--	70	133	362	89	80	740
g1209	--	21	44	182	27	25	308
g121	--	246	320	1086	219	286	2507
g1210	--	485	639	1848	459	611	5257
g1211	--	80	113	658	51	114	547
g1212	--	78	102	480	64	68	572
g1213	--	248	268	1224	272	268	2470
g1214	--	539	631	1962	648	866	6802
g1215	--	1452	1664	4660	1443	1670	14783
g1216	--	84	95	354	90	96	844
g1217	--	1250	2119	6788	1798	1897	17052
g1218	--	465	492	1468	494	578	4628
g1219	--	100	123	500	76	90	921
g122	--	2106	2672	7464	2473	2889	25000
g1220	--	775	877	2576	634	854	6538
g1221	--	598	988	2608	573	718	5759
g1222	--	1178	1313	3790	989	1126	9819
g1223	--	290	471	1280	275	315	2962
g1224	--	802	1192	3924	673	777	7196
g1225	--	70	122	350	69	75	723
g1226	--	933	831	3022	778	880	7727
g1227	--	139	321	1178	204	256	2026
